County,Establishment Type,Entity Name,DBA Name,Square Footage,Latitude,Longitude
Albany,Grocery/Manufacturer,ROBILOTTO JOSEPH L               ,FALVOS MEAT CO         ,2000,42.633942,-73.90263
Albany,Walmart,SAMS EAST INC                    ,SAMS CLUB 6440         ,132000,42.752101,-73.766837
Albany,Deli,SALEH ADEL THABET                ,NORTH ALLEN NEWS DELI  ,1800,42.671817,-73.786387
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 277      ,2500,42.592971,-73.986561
Albany,Convenience Store,DRAKE PETROLEUM CO INC           ,XTRA MART 1459         ,1600,42.707337,-73.712001
Albany,Deli,REDDY WILLIAM                    ,REDDYS DELI&GROCERY    ,3200,42.767217,-73.700434
Albany,Deli,ALTIRI ABDO NOMAN AHMED          ,R&J GROCERY&DELI       ,700,42.659749,-73.759554
Albany,Grocery/Manufacturer,RAGONESE IMPORTS INC             ,RAGONESE IMPORTS       ,1000,42.654147,-73.794232
Albany,Grocery/Manufacturer,DENITTO MARIA                    ,FIORELLO IMP LUIGIS DEL,1300,42.67687,-73.824465
Albany,Discount Store,FAMILY DOLLAR STORES OF NY INC   ,FAMILY DOLLAR 5656     ,7000,42.663433,-73.758972
Albany,Deli,YEMEN GROCERY&DELI INC           ,YEMEN GROCERY&DELI     ,800,42.666166,-73.772313
Albany,Convenience Store,RITE AID OF NEW YORK INC         ,RITE AID PHARMACY 00661,7500,42.697187,-73.886517
Albany,Grocery/Manufacturer,HUSSAIN JARRAR                   ,ALI BABAS INDIAN SPICES,400,42.702633,-73.817476
Albany,Store,WELCH JAMES                      ,JIMS PLACE             ,600,42.650177,-73.753572
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY 05358     ,2000,42.715374,-73.932177
Albany,Grocery/Manufacturer,MAPLE LEAF MARKET LLC            ,MAPLE LEAF MARKET      ,1800,42.659393,-73.783308
Albany,Bakery,BEAUMONT LYNN & LYNCH BRENDAN    ,CHEESECAKE MACHISMO    ,1200,42.650892,-73.762896
Albany,Store,HICKORY FARMS INC                ,HICKORY FARMS #11311   ,1000,42.708249,-73.816464
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY 00600     ,5000,42.641173,-73.781524
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 105      ,2800,42.615236,-73.852119
Albany,Discount Store,FAMILY DOLLAR STORES OF NY INC   ,FAMILY DOLLAR #2164    ,3500,42.773537,-73.697752
Albany,Grocery Store,MARTINS FOODS OF S BURLINGTON LLC,HANNAFORD 8339         ,43000,42.62889,-73.811645
Albany,Deli,HOLMES JENNIFER M                ,FIORELLO DELI          ,800,42.676781,-73.824187
Albany,Store,SHERMAN MARK W                   ,EXPRESS STOP NEWS      ,600,42.713167,-73.815194
Albany,Discount Store,FAMILY DOLLAR STORES OF NY INC   ,FAMILY DOLLAR 2048     ,3000,42.669632,-73.778065
Albany,Grocery/Manufacturer,WESTERN AVENUE BBE INC           ,CAMPUS MOBIL           ,600,42.67688,-73.824497
Albany,Grocery/Manufacturer/Warehouse,CA SMITH INC                     ,RAVENA SHOP N SAVE     ,27000,42.467094,-73.816324
Albany,Store,DIFFERENT DRUMMER KITCHEN INC    ,DIFFERENT DRUMMER      ,3500,42.681559,-73.839106
Albany,Grocery/Manufacturer,EASHA INC                        ,EASHA MART             ,900,42.661523,-73.777617
Albany,Gas Station,DUNCO INC                        ,A PLUS SUNOCO          ,1800,42.72776,-73.795275
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY #00375    ,15000,42.626102,-73.822091
Albany,Store,HISTORY HILL INC                 ,LARK CENTRAL MARKET    ,1200,42.655577,-73.764474
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY #0415     ,12000,42.742783,-73.761936
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 334      ,1500,42.697735,-73.791904
Albany,Grocery/Manufacturer,SONA SONY QUICK MART CORP        ,SONA SONY QUICK MART   ,1000,42.70017,-73.821185
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY 05030     ,4000,42.681559,-73.839106
Albany,Grocery/Manufacturer,RADIA CORP                       ,CAMPUS CONVENIENT      ,1200,42.660946,-73.774376
Albany,Convenience Store,ECKERD CORP                      ,RITE AID 10692         ,8000,42.681478,-73.791629
Albany,Grocery/Manufacturer,CREIGHTONS OF GUILDERLAND INC    ,PARADISE NATURAL FOODS ,1600,42.69096,-73.868679
Albany,Grocery/Manufacturer,LAGUNA MINI MART INC             ,MOBIL MART             ,3000,42.75408,-73.771343
Albany,Grocery/Manufacturer,PAUL SANDRA                      ,S&A W INDIAN AMER GRCRY,3500,42.662848,-73.768237
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 186      ,1800,42.677603,-73.734691
Albany,Convenience Store,STEWARTS SHOPS CORP              ,STEWARTS SHOP 152      ,2000,42.654183,-73.772871
Albany,Convenience Store,RITE AID OF NEW YORK INC         ,RITE AID PHARMACY 03334,6000,42.64044,-73.757622
Albany,Convenience Store,RITE AID OF NEW YORK INC         ,RITE AID #4928         ,8000,42.732838,-73.850199
Albany,Grocery/Manufacturer,LECLAIRE LISA A                  ,LISAS PRODUCE&MORE     ,600,42.622386,-73.833709
Albany,Specialty Shop,CARIOTO PRODUCE INC              ,CARIOTO PRODUCE        ,17000,42.753245,-73.69405
Albany,Grocery/Manufacturer,BALLTOWN SERVICE INC             ,BALLTOWN SERVICE       ,1200,42.73228,-73.850153
Albany,Convenience Store,RITE AID OF NY INC               ,RITE AID 537           ,7600,42.650341,-73.752357
Albany,Store,WILLIAMS SONOMA INC              ,WILLIAMS SONOMA  813   ,3000,42.690286,-73.842758
Albany,Convenience Store,WALGREEN EASTERN CO INC          ,WALGREENS #09153       ,12000,42.697897,-73.889246
Albany,Store,DEVEN CORP THE                   ,EMPIRE NEWS OF ALBANY  ,600,42.651981,-73.767826
Albany,Convenience Store,CVS ALBANY LLC                   ,CVS PHARMACY 05047     ,7500,42.726515,-73.760233
Albany,Discount Store,DOLLAR TREE STORES INC           ,DOLLAR TREE 1414       ,8000,42.681478,-73.791629
